epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1395.32,1.15027,2.15916,1.2354,0.57247,0.36987,0.3438,0.23718,1.03063,2.75681,1.16626,0.0672973,0.00033033,0.00033033
2,2517.19,1.10185,1.50303,1.18933,0.62679,0.40897,0.46682,0.3238,1.02891,1.54452,1.14562,0.0342535,0.000619862,0.000619862
3,3678.27,1.09559,1.35076,1.17193,0.707,0.45245,0.51636,0.37694,0.94601,1.28144,1.07349,0.00116569,0.000865393,0.000865393
4,4807.8,1.07454,1.2652,1.16127,0.6867,0.47257,0.54056,0.39527,0.95519,1.26912,1.08628,0.000802,0.000802,0.000802
5,5970.52,1.02149,1.16181,1.12884,0.78058,0.52589,0.59557,0.44436,0.92275,1.07541,1.08414,0.000736,0.000736,0.000736
6,7098.67,0.87936,0.94257,1.03841,0.72769,0.53824,0.59818,0.42197,0.92259,1.02594,1.06768,0.00067,0.00067,0.00067
7,8223.93,0.86385,0.88531,1.02248,0.81064,0.56579,0.65429,0.4834,0.86107,0.92608,1.00783,0.000604,0.000604,0.000604
8,9341.39,0.81882,0.8406,1.00407,0.82624,0.57857,0.66924,0.50525,0.79334,0.85327,0.99792,0.000538,0.000538,0.000538
9,10421.7,0.76764,0.76642,0.97607,0.85534,0.60719,0.68809,0.52195,0.76557,0.77744,0.97329,0.000472,0.000472,0.000472
10,11554.6,0.73731,0.70074,0.96196,0.85468,0.59988,0.69286,0.53629,0.73863,0.74371,0.96895,0.000406,0.000406,0.000406
11,12767.4,0.69883,0.6451,0.94798,0.84777,0.60962,0.69663,0.54459,0.72608,0.71114,0.97149,0.00034,0.00034,0.00034
12,13832.2,0.6653,0.60197,0.92552,0.89438,0.62536,0.71625,0.55477,0.69258,0.67586,0.94179,0.000274,0.000274,0.000274
13,14982.3,0.63317,0.56626,0.91151,0.8895,0.64826,0.72922,0.56922,0.66965,0.64444,0.94084,0.000208,0.000208,0.000208
14,16145.9,0.60975,0.52651,0.90083,0.91872,0.64213,0.73999,0.58918,0.62693,0.59984,0.91691,0.000142,0.000142,0.000142
15,17152.5,0.57287,0.48803,0.89177,0.84197,0.68052,0.7417,0.59571,0.60402,0.58702,0.91226,7.6e-05,7.6e-05,7.6e-05
